Questions,Answers,Sentiment
How do you comfort someone who lost a loved one over text?,"1. Just wanted to let you know I'm thinking of you, praying for you, and grieving with you.",Grief
How do I cheer up from a very sad event?,"Go for a walk. When you feel yourself in a panic, take a break and go for a walk outside",Grief
What work habits qualities make a person successful at work?,Be Prepared to Not Know Everything. Accept criticism.,Happiness
How can I make my job more fun?,Have a little chit-chat with co-workers. There's nothing wrong with a little water cooler talk.,Happiness
What makes employees happy?,"Happy employees are also satisfied and feel a sense of accomplishment in their work. They like themselves and what they do, and they find satisfaction from their work – a sense that what they do is important and meaningful. Such feelings reduce stress, which is a major factor of productivity.",Happiness
What makes employees unhappy?,"One of the primary reasons for job dissatisfaction results from companies underpaying workers. ... The stress of paying bills with limited income causes many workers to feel dissatisfied with their jobs. Sometimes, employees just feel that they're underpaid when they may be paid fairly.",Happiness
Why employees hate their jobs?,"Feeling insecure is a big reason many people are unhappy at work. Today's 'economic squeeze', and the struggle for a better 'bottom line' using less resources, can lead to many employees losing their loyalty.",Happiness
Is it bad to enjoy your own company?,"If you enjoy your own company, you're happy to talk to yourself, even if it's just an internal monologue, rather than out loud. If you enjoy your own company, you have a strong sense of who you really are. If you enjoy your own company, you're happy to spend time alone at home.",Happiness
How do I start enjoying being alone?,Try to take a step back from social media and appreciate your own presence.,Happiness
Is it OK to want to be alone forever?,"It isn't wrong, just a preference. It's ok to want to be alone forever if it's ok with you. However, the overwhelming majority of people want to be with someone because we are human and desire connection.",Happiness
Why do I like to be alone so much?,"Introverts may enjoy spending time alone in part because of acetylcholine; according to Laney, this chemical may produce a happy feeling for introverts when they're quietly reflecting, concentrating, or turned inward.",Curiosity
Why do I like being single?,"People who prefer being single have more time to commit to their personal pursuits and the independence to explore interests that they might not have time for in a relationship. Since being alone can be physically and mentally healthy, people often choose to end relationships or avoid them entirely.",Curiosity
Are single people happier?,"Typically, single people are happy. I've been scrutinizing the relevant studies for decades, and in every one, the average happiness of single people is always squarely on the happy end of the scale. What's more, when people marry, they usually do not become any happier than they were when they were single.",Happiness
How can I stay happy and positive in life?,"Challenging situations and obstacles are a part of life. When you’re faced with one, focus on the good things no matter how small or seemingly insignificant they seem. If you look for it, you can always find the proverbial silver lining in every cloud — even if it’s not immediately obvious. For example, if someone cancels plans, focus on how it frees up time for you to catch up on a TV show or other activity you enjoy.",Happiness
How do you survive with no friends?,"Having fun solo is completely possible--just take time out of your day to pursue the activities you enjoy. Maybe you love writing, hiking, or painting. Doing something you love can boost your mood and help you get to know yourself a little better.",Curiosity
Is it OK to be single in your 40s and be happy about it?,"Being single in your 40s allows you to grow how you want, at the pace you want, by trying different things. You can change your focus, your desires, your path many times without worrying about who it affects.",Happiness
How can I attract positive energy?,Smile more and you will feel it immediately!,Happiness
How do I stop being irritated with people?,Figure out the source. The best way to reduce irritability is to figure out what's making you irritable—and then address it. ,Happiness
Why do I stress so much about school?,"Students with busy schedules can quickly become overwhelmed because they are left with no free time to relax. As your child progresses from elementary school to high school, the amount and difficulty level of schoolwork increases—and students without good time management skills can experience even more stress.",Curiosity
How can I calm my anxiety for school? I can't go on like this anymore..,Being out in nature can also calm an anxious brain. Sometimes just a change of scenery is what makes the difference. Breathing the cool air or making time to notice chirping birds can also calm an overactive worrier. ,Curiosity
Do Hugs help with anxiety? I have a friend which I am really worried about and I would be glad if I could help this way <3,"Fortunately yes. When you hug, touch, or sit close to someone you love, your body releases oxytocin, which scientists call the “cuddle hormone.” This hormone can help relax and lower anxiety, which in turn can effectively lower blood pressure.",Curiosity
Is it OK to not talk to your mother? I am worried about our relationship..,"This may be a good thing — your parents are willing to try to develop a healthy relationship!But not talking to a parent does not often last forever. You can use this to soothe yourself if you feel bad about it, but you should also keep it in mind if you initiate contact and end up regretting it.",Curiosity
